Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
GTQXH,0.76,2185,"Bruen, Donnelly and Klocko",256457.41,IRSwap
AYPAI,0.07,2186,Morissette - Hayes,42794.08,IRSwap
7EZ2N,0.13,2187,Kuhlman - Conn,798474.64,IRSwap
JM9M2,0.46,2188,Wehner Group,192668.50,IRSwap
Q516X,0.08,2189,"Schoen, Schinner and Ortiz",575319.67,IRSwap
2N12U,0.68,2190,"Hermann, Gorczany and Flatley",627615.16,IRSwap
S5HNP,0.07,2191,Hermiston LLC,627009.00,IRSwap
OG8G8,0.92,2192,Bayer Inc,718389.36,IRSwap
JYXKL,0.59,2193,"Reichel, Beahan and Hane",584652.39,IRSwap
4YY0K,0.51,2194,"Muller, Gibson and Leuschke",439188.67,IRSwap
5IXLF,0.59,2195,Abshire LLC,307842.55,IRSwap
8197K,0.11,2196,"Von, Schaefer and Lueilwitz",308759.06,IRSwap
V69C9,0.51,2197,Kub Inc,421441.86,IRSwap
1O9EF,0.98,2198,Hessel and Sons,505125.18,IRSwap
HZ4VW,0.68,2199,"Cruickshank, Abbott and Crist",708480.26,IRSwap
EV9CO,0.24,2200,"Yost, Jast and Brakus",522372.21,IRSwap
E19JR,0.86,2201,Blick LLC,554555.88,IRSwap
3PE74,0.46,2202,"McKenzie, Conn and West",483530.12,IRSwap
YEI9E,0.13,2203,Shields - Keeling,375279.59,IRSwap
XK52X,0.86,2204,Gusikowski LLC,6136.95,IRSwap
E951B,0.17,2205,Connelly - Schuppe,40391.18,IRSwap
956GN,0.75,2206,"Connelly, Maggio and Sanford",789930.86,IRSwap
AEXKI,0.56,2207,Hirthe LLC,683697.49,IRSwap
80EZO,0.25,2208,Gislason - Gerhold,130330.31,IRSwap
XQY7O,0.41,2209,Will - Emmerich,262583.31,IRSwap
R3C3U,0.22,2210,"Monahan, Greenfelder and Buckridge",49214.40,IRSwap
VBNK8,0.77,2211,Schaefer - Morar,526955.94,IRSwap
B5GQJ,0.46,2212,Roob and Sons,266730.71,IRSwap
Y52GX,0.03,2213,"Toy, Bruen and McDermott",731860.89,IRSwap
LQ2FA,0.65,2214,"Smitham, Barrows and Abernathy",169160.11,IRSwap
WUPLM,0.62,2215,Nolan - Rutherford,853302.13,IRSwap
O1SW5,0.56,2216,Huel - Kulas,587371.41,IRSwap
XD95J,0.74,2217,Hand LLC,329648.10,IRSwap
GTV2A,0.36,2218,"Casper, Crooks and Bernier",463750.55,IRSwap
JEHKX,0.16,2219,"Hackett, Johnson and Hamill",445398.71,IRSwap
WFXIL,0.56,2220,Ritchie LLC,103714.31,IRSwap
8F477,0.92,2221,Terry Group,428362.79,IRSwap
B0HTU,0.66,2222,"Swaniawski, DuBuque and Flatley",14888.26,IRSwap
ICKDX,0.56,2223,"Schinner, Larkin and Stokes",422342.91,IRSwap
W74AA,0.35,2224,"Schinner, Schneider and Keeling",473825.73,IRSwap
B3LFG,0.69,2225,Hartmann and Sons,532963.92,IRSwap
KTWRN,0.85,2226,"Tromp, Bernhard and Bode",428181.52,IRSwap
LU49P,0.56,2227,"Gleichner, Cummerata and Jast",438215.13,IRSwap
GW79Y,0.93,2228,Murray - Rutherford,182831.91,IRSwap
QC1BE,0.21,2229,Swaniawski - Wisoky,895904.88,IRSwap
284VI,0.76,2230,Nikolaus - Kutch,50955.79,IRSwap
IFB83,0.92,2231,Doyle Group,182569.05,IRSwap
E7IP8,0.80,2232,"Kulas, Pollich and Waelchi",492166.01,IRSwap
4P48R,0.32,2233,"Steuber, Langosh and Balistreri",736189.82,IRSwap
SDA1S,0.22,2234,"Doyle, Mueller and Gottlieb",902054.76,IRSwap
KKO0L,0.17,2235,Kuphal - Bashirian,949116.06,IRSwap
G5SBL,0.13,2236,Willms LLC,349186.90,IRSwap
A7HE5,0.41,2237,"Cremin, Howe and Reinger",486802.50,IRSwap
0ZSJ5,0.45,2238,Ziemann LLC,369575.68,IRSwap
83XFM,0.58,2239,Crona Inc,494194.17,IRSwap
4BGAC,0.18,2240,"Kling, Pacocha and Hessel",331426.83,IRSwap
YXZG5,0.00,2241,Konopelski - Runte,79449.36,IRSwap
8886A,0.05,2242,"Kautzer, Parker and Nitzsche",995914.55,IRSwap
71WOB,0.27,2243,"Macejkovic, Johns and Ritchie",323222.80,IRSwap
EA6YZ,0.47,2244,"Glover, Moen and Pollich",381616.85,IRSwap
PCV27,0.09,2245,Feeney - Balistreri,991206.79,IRSwap
CCNPX,0.55,2246,Cassin Group,907084.39,IRSwap
E1AUT,0.96,2247,Padberg - Kuhn,607924.22,IRSwap
Z6PBH,0.70,2248,Hauck Inc,319229.88,IRSwap
R5SS1,0.08,2249,Mitchell Inc,174894.69,IRSwap
ZWQFK,0.68,2250,Koepp - Adams,441538.67,IRSwap
2P2IX,0.17,2251,Bahringer and Sons,254010.29,IRSwap
JVKBU,0.27,2252,Hagenes - Emmerich,238825.81,IRSwap
BJBMC,0.07,2253,Lebsack Group,742300.95,IRSwap
O0CU3,0.04,2254,Grimes - Romaguera,816968.84,IRSwap
GB8RW,0.10,2255,Glover Group,860386.28,IRSwap
FI7IX,0.53,2256,Keebler - Marquardt,308913.62,IRSwap
QBKEK,0.53,2257,Kirlin - Dach,858460.92,IRSwap
7ZNYA,0.00,2258,Raynor - Ernser,809182.62,IRSwap
Q0QFE,0.16,2259,MacGyver LLC,235212.46,IRSwap
M3Z44,0.77,2260,"Shanahan, Walsh and MacGyver",647675.29,IRSwap
7R4FU,0.23,2261,"Douglas, Howell and Mann",616352.54,IRSwap
QX4PL,0.11,2262,Walter Inc,830122.72,IRSwap
SN5KW,0.67,2263,Jakubowski LLC,711820.19,IRSwap
BO4SY,0.33,2264,"Daugherty, Fay and Koch",359277.74,IRSwap
CTV5V,0.42,2265,"Hamill, Marvin and Mills",999717.69,IRSwap
NUTJL,0.54,2266,Okuneva - Spinka,797078.15,IRSwap
PRGF9,0.00,2267,D'Amore - Jacobi,45787.52,IRSwap
53SBC,0.69,2268,"O'Connell, Sauer and Baumbach",86651.84,IRSwap
MKNTA,0.26,2269,"Schinner, Johns and Pacocha",570356.09,IRSwap
6JAKC,0.45,2270,Schaefer - Johnson,145480.56,IRSwap
SPIQ1,0.22,2271,"Swaniawski, Lakin and Stiedemann",877187.29,IRSwap
ZD45W,0.78,2272,Stark Group,375956.27,IRSwap
ZMXYJ,0.49,2273,Purdy - O'Hara,287736.52,IRSwap
WTOTU,0.13,2274,"Zieme, Flatley and Shields",925093.36,IRSwap
XLR66,0.18,2275,Gleichner Inc,104816.11,IRSwap
6UKV6,0.77,2276,Kessler - Pacocha,449814.77,IRSwap
9LZG2,0.56,2277,Dibbert - Lindgren,459758.96,IRSwap
DFM62,0.03,2278,Hauck - Bednar,644910.29,IRSwap
CKKDR,0.05,2279,Ryan and Sons,314516.77,IRSwap
KVQKU,0.33,2280,Schowalter LLC,82418.26,IRSwap
Q2D12,0.73,2281,Hamill - Carter,625216.21,IRSwap
LRT83,0.70,2282,Howe Group,143078.50,IRSwap
BMOZ2,0.49,2283,Morar LLC,20199.68,IRSwap
UNQKA,0.18,2284,"Bauch, Hauck and Rempel",421903.87,IRSwap
UZIHT,0.07,2285,Gutkowski - Bartell,816400.17,IRSwap
ZM3B4,0.38,2286,Kovacek - Corkery,286876.56,IRSwap
713PQ,0.12,2287,Wisoky - McGlynn,17447.97,IRSwap
IBN7G,0.64,2288,O'Hara Group,520900.62,IRSwap
7K6FF,0.23,2289,Kuhn and Sons,414759.71,IRSwap
RKP0M,0.81,2290,Kerluke - Kling,902676.13,IRSwap
UNMSO,0.96,2291,"Sauer, Robel and Pouros",6847.42,IRSwap
P6TMU,0.66,2292,"Stracke, Krajcik and Dickens",915992.61,IRSwap
7XQXL,0.65,2293,Larson LLC,632741.01,IRSwap
RKECX,0.57,2294,Nikolaus - Ruecker,407936.55,IRSwap
KZPUU,0.54,2295,Rolfson - Gislason,659532.56,IRSwap
H74DN,0.72,2296,Zemlak Group,222728.44,IRSwap
8PS55,0.76,2297,"Stiedemann, Bode and Hahn",311964.28,IRSwap
J9W27,0.21,2298,Price - Greenholt,3348.63,IRSwap
OJXJF,0.03,2299,"Bernhard, Bednar and King",590837.75,IRSwap
YCC9X,0.69,2300,"Doyle, Pfeffer and Schmeler",669334.88,IRSwap
7YY8B,0.43,2301,"Sanford, Roob and Grimes",658990.80,IRSwap
VPJ6V,0.64,2302,Yost - Schamberger,25041.12,IRSwap
7VAJP,0.96,2303,"Renner, Rippin and Kunze",605218.22,IRSwap
OA1BY,0.56,2304,Douglas and Sons,279357.30,IRSwap
P0N3M,0.81,2305,Reichert and Sons,689931.67,IRSwap
10S10,0.08,2306,Bergstrom Inc,983614.68,IRSwap
8SFQ6,0.42,2307,Osinski - Mertz,470489.26,IRSwap
I0GTW,0.20,2308,Steuber - Tremblay,78054.95,IRSwap
V75D8,0.67,2309,Emmerich Group,905698.81,IRSwap
WJ4TG,0.92,2310,Wolf - Haag,890102.13,IRSwap
A86ZG,0.04,2311,Tromp - Vandervort,202344.43,IRSwap
UGQOL,0.02,2312,Zemlak - Corwin,816128.19,IRSwap
XJJ06,0.98,2313,Beahan - Langworth,506310.60,IRSwap
BBQLM,0.04,2314,"Nikolaus, Herman and Wyman",616747.52,IRSwap
ITH1G,0.79,2315,Veum Inc,102406.73,IRSwap
JDE9R,0.68,2316,Ebert - Keeling,282258.65,IRSwap
XN67I,0.14,2317,Schiller and Sons,157585.18,IRSwap
G4BEF,0.71,2318,Bogisich Group,982377.77,IRSwap
FFXP3,0.94,2319,Wisoky LLC,195008.75,IRSwap
DF16V,0.66,2320,"Kirlin, Simonis and Wilderman",876849.04,IRSwap
C8GTE,0.07,2321,Larson and Sons,773130.59,IRSwap
1APHP,0.47,2322,"Stokes, Bergnaum and Mueller",197530.48,IRSwap
9032P,0.28,2323,McClure Inc,567504.49,IRSwap
GFF36,0.47,2324,Lubowitz Inc,770716.49,IRSwap
RBOB5,0.32,2325,"Pfannerstill, Swift and Ullrich",590137.34,IRSwap
2738C,0.74,2326,"Corkery, Dicki and Daniel",936086.17,IRSwap
UQMVM,0.32,2327,"Schamberger, Runte and Hackett",13651.74,IRSwap
BZHOF,0.75,2328,McCullough and Sons,707252.00,IRSwap
ULIC7,1.00,2329,Will - Luettgen,402757.04,IRSwap
4ARHX,0.70,2330,"Champlin, Considine and Zemlak",83800.85,IRSwap
LQ8Q8,0.60,2331,Predovic and Sons,900395.07,IRSwap
T7W59,0.23,2332,Von - Wyman,136418.25,IRSwap
4FFM6,0.70,2333,O'Connell LLC,362332.37,IRSwap
97I8U,0.29,2334,"Doyle, Kunde and Becker",276725.50,IRSwap
75U9X,0.38,2335,Yundt - Hyatt,405640.52,IRSwap
M2ZS6,0.31,2336,Fahey - Price,431048.30,IRSwap
CFXUK,0.02,2337,Lueilwitz - Lemke,858611.46,IRSwap
NN8YW,0.28,2338,Turner - Jakubowski,947153.67,IRSwap
5ZSMN,0.19,2339,Hilpert - Glover,320435.57,IRSwap
O2GJ2,0.79,2340,Reichel Inc,541690.33,IRSwap
YOTRR,0.97,2341,Zieme LLC,901669.34,IRSwap
8A7PD,0.63,2342,"Bauch, Swift and Trantow",727938.71,IRSwap
OTV9L,0.20,2343,Emmerich and Sons,822222.91,IRSwap
ODCG5,0.04,2344,"Tremblay, Carroll and Beatty",584691.57,IRSwap
6TGR8,0.82,2345,"Osinski, Hermann and Crona",845237.72,IRSwap
2AVYH,0.17,2346,"Cronin, VonRueden and Sauer",301718.29,IRSwap
5JWV9,0.21,2347,"Considine, Considine and Rosenbaum",841939.15,IRSwap
NUN1T,0.83,2348,Koch - Little,23903.46,IRSwap
SEA2L,0.20,2349,"Stroman, Dooley and Williamson",131129.80,IRSwap
03COW,0.86,2350,Parisian - Turner,210843.63,IRSwap
G8AEG,0.23,2351,Maggio - Kuhn,572175.26,IRSwap
YSPC5,0.63,2352,"O'Reilly, Heaney and Schoen",275832.79,IRSwap
NTNRA,0.38,2353,"Padberg, Abernathy and Bartoletti",778433.80,IRSwap
DOK4V,0.61,2354,"Wiza, McCullough and Haag",710411.85,IRSwap
3X2AM,0.33,2355,Grimes - Toy,339785.60,IRSwap
JOLGR,0.70,2356,"Fay, Mayer and Torphy",485180.69,IRSwap
Y8E1R,0.04,2357,"Lehner, Rohan and Hilll",225085.17,IRSwap
FJVLG,0.66,2358,"Dietrich, Halvorson and Quitzon",141150.32,IRSwap
F8UZZ,0.65,2359,Cruickshank LLC,5438.12,IRSwap
5YVYT,0.87,2360,Upton and Sons,766378.69,IRSwap
DKRE8,0.05,2361,MacGyver - Rath,474946.38,IRSwap
HLM7J,0.01,2362,Dare - Ferry,269553.21,IRSwap
NAVXZ,0.47,2363,Bechtelar - Schinner,393849.91,IRSwap
HG9MU,0.45,2364,"Veum, Romaguera and McGlynn",68692.07,IRSwap
XO5AK,0.35,2365,Rodriguez - Walsh,60330.46,IRSwap
JRBT3,0.69,2366,Jerde - Schuster,306187.84,IRSwap
FN7Z4,0.35,2367,"Jacobs, Sanford and Hodkiewicz",673556.51,IRSwap
BVCPM,0.73,2368,Quigley - MacGyver,122272.53,IRSwap
IXAIP,0.14,2369,Kihn - Carter,20294.37,IRSwap
1YJDI,0.02,2370,Lehner - Cronin,616482.25,IRSwap
P968W,0.98,2371,"Green, Kassulke and Zemlak",57042.43,IRSwap
YNC6H,0.37,2372,Kreiger Group,175213.04,IRSwap
JX2CB,0.95,2373,"Gorczany, Zieme and VonRueden",65299.09,IRSwap
04YSO,0.10,2374,Metz Group,368364.24,IRSwap
17F3B,0.19,2375,Senger Inc,307913.71,IRSwap
0F2Z5,0.32,2376,Balistreri LLC,284970.46,IRSwap
XV6TX,0.53,2377,Tremblay LLC,36919.18,IRSwap
DGUL0,0.35,2378,Hodkiewicz - Schuppe,271642.19,IRSwap
Q5YHC,0.59,2379,Yost - Barrows,130233.67,IRSwap
ZE84D,0.17,2380,Witting LLC,353184.15,IRSwap
SU7DW,0.56,2381,Nicolas Inc,777274.69,IRSwap
T4VGA,0.77,2382,Kohler - Wuckert,811719.73,IRSwap
FQGAZ,0.21,2383,"Prosacco, Klein and Heidenreich",482901.37,IRSwap
T9BWY,0.57,2384,"Fisher, Smitham and Hartmann",868160.36,IRSwap
ZTJVJ,0.80,2385,Schinner - Abshire,585907.21,IRSwap
SAD3Q,0.10,2386,"Metz, Frami and Hagenes",182915.70,IRSwap
HYAM4,0.41,2387,"Herman, Stiedemann and Fadel",142079.26,IRSwap
WFWXE,0.45,2388,"Hessel, Casper and O'Kon",341658.70,IRSwap
0O1YY,0.80,2389,Von - Nolan,593392.97,IRSwap
5DUCL,0.58,2390,Krajcik LLC,443549.86,IRSwap
6IGEY,0.19,2391,"Pollich, Jacobson and Sauer",884812.00,IRSwap
KJG99,0.66,2392,"Parker, Kris and White",939865.43,IRSwap
G76JK,0.56,2393,Moore LLC,884971.56,IRSwap
IVPU5,0.56,2394,Smith - Legros,714962.55,IRSwap
S6H7S,0.30,2395,Anderson - Monahan,401641.96,IRSwap
S6ZPB,0.27,2396,"Harber, Halvorson and Gislason",533691.31,IRSwap
Y8FPU,0.62,2397,"Hickle, Mueller and Kris",843885.79,IRSwap
073AP,0.98,2398,Predovic Inc,144577.58,IRSwap
96QOP,0.12,2399,"Goyette, Pacocha and Abshire",520729.85,IRSwap
XY89S,0.06,2400,"Greenholt, Predovic and Oberbrunner",987113.95,IRSwap
5ESZW,0.42,2401,Goodwin - Farrell,619066.89,IRSwap
YHBO1,0.70,2402,Grant - Brown,85783.03,IRSwap
EEH09,0.14,2403,Cole and Sons,260355.84,IRSwap
TESW3,0.79,2404,Kling Inc,689077.88,IRSwap
0LK1G,0.63,2405,"Powlowski, Schmidt and Prosacco",244855.49,IRSwap
BSY7R,0.89,2406,Ebert - Bode,23698.78,IRSwap
3F9JO,0.42,2407,"Rath, Runolfsson and Heller",144107.30,IRSwap
BS0ET,0.94,2408,Gerlach - Runolfsson,346253.00,IRSwap
4NHMT,0.69,2409,"Senger, Larkin and Lehner",243806.99,IRSwap
1C3X5,0.29,2410,Turcotte Inc,983178.32,IRSwap
YBOZZ,0.95,2411,Rosenbaum - Doyle,952209.81,IRSwap
9TWYR,0.78,2412,"Wilderman, Wilkinson and Schimmel",886883.59,IRSwap
LDAFW,0.48,2413,"Thiel, Rice and Funk",358739.19,IRSwap
BKASZ,0.49,2414,Nolan - Kuhlman,65302.55,IRSwap
YD3SJ,0.20,2415,Stracke - Swaniawski,380354.68,IRSwap
GPLPB,0.70,2416,"Jast, Larkin and Maggio",879769.57,IRSwap
BBTX8,0.61,2417,Barton - Harvey,305988.10,IRSwap
0VVE8,0.27,2418,Runte and Sons,289553.02,IRSwap
84X6U,0.88,2419,Turner - Ratke,529715.30,IRSwap
TJ2M2,0.27,2420,"Borer, Pacocha and Schamberger",87846.13,IRSwap
89VLT,0.18,2421,"Greenholt, Medhurst and Schaefer",642484.25,IRSwap
BS26D,0.64,2422,Beahan - Denesik,644110.75,IRSwap
3I76B,0.80,2423,Hessel Group,73254.58,IRSwap
4QLWN,0.32,2424,"D'Amore, Zemlak and Padberg",612007.20,IRSwap
MLFIQ,0.01,2425,Becker LLC,611471.68,IRSwap
XOPJQ,0.07,2426,Parisian - Nienow,739336.81,IRSwap
2I172,0.47,2427,"Grady, Balistreri and Jaskolski",308022.24,IRSwap
BDGGW,0.76,2428,Reynolds and Sons,869677.38,IRSwap
CXOF1,0.05,2429,"Mertz, Schimmel and Hamill",492651.41,IRSwap
14AK3,0.41,2430,Mayer LLC,950305.44,IRSwap
YBVMA,0.25,2431,Ortiz LLC,182693.94,IRSwap
O83TP,0.58,2432,Shanahan and Sons,993454.80,IRSwap
35OXA,0.27,2433,Runolfsdottir - Bartoletti,428395.22,IRSwap
DX94J,0.03,2434,Treutel Group,346539.70,IRSwap
YC9N9,0.79,2435,Beer Inc,777709.23,IRSwap
2JM33,0.79,2436,Kuhlman Group,516345.13,IRSwap
360YM,0.76,2437,Wiegand - Heathcote,26192.68,IRSwap
AM9GQ,0.89,2438,"Wilkinson, Gleichner and Osinski",510089.63,IRSwap
O1AAU,0.29,2439,O'Kon and Sons,248006.02,IRSwap
4P3OS,0.34,2440,Bayer Group,376491.72,IRSwap
2770R,0.91,2441,Barton LLC,824130.78,IRSwap
MAUSF,0.15,2442,Nikolaus - Herman,893512.59,IRSwap
WIAEK,0.52,2443,"Parker, Satterfield and Koss",810793.62,IRSwap
Z5N6G,0.83,2444,Parisian - Jacobs,601100.79,IRSwap
IOVQT,0.85,2445,Leannon Group,910676.11,IRSwap
M9105,0.71,2446,Gibson LLC,605159.51,IRSwap
YYAN5,0.20,2447,"Moore, Dibbert and Huel",809178.87,IRSwap
5UKA7,0.64,2448,Wiza - Hammes,447376.19,IRSwap
B1SZQ,0.12,2449,Marvin - Reinger,187492.85,IRSwap
OBJ3K,0.74,2450,Ankunding - Ritchie,931887.78,IRSwap
QAB5G,0.40,2451,Bogisich - Pagac,654434.61,IRSwap
C1G7H,0.91,2452,Reichert - West,67390.13,IRSwap
JL8DR,0.83,2453,Gutmann Group,27576.45,IRSwap
2GW2G,0.02,2454,Klocko LLC,476090.73,IRSwap
X2OLM,0.87,2455,"Nienow, Lindgren and Hane",638912.09,IRSwap
95N35,0.05,2456,Mitchell LLC,585545.29,IRSwap
ZGZV5,0.39,2457,"Homenick, Mosciski and Bode",20605.20,IRSwap
LDMIK,0.80,2458,"Krajcik, D'Amore and Larson",761826.13,IRSwap
3WSB8,0.97,2459,Will Group,853892.91,IRSwap
X8MXL,0.68,2460,Wisozk Group,256332.55,IRSwap
H2IK9,0.48,2461,"Kunde, Kuhlman and McClure",127176.09,IRSwap
N35WK,0.20,2462,Kuhn - Carter,240749.12,IRSwap
IC9UC,0.77,2463,Trantow - Johns,434092.56,IRSwap
GEQLT,0.29,2464,"VonRueden, Torphy and Boyer",647722.96,IRSwap
P095G,0.03,2465,"Yost, Kunde and Pfeffer",479628.60,IRSwap
25M4T,0.67,2466,Kris Inc,600935.16,IRSwap
L0L6O,0.44,2467,Kulas Group,708013.51,IRSwap
WXQ0N,0.25,2468,Rosenbaum Group,822825.80,IRSwap
WEY1E,0.26,2469,Douglas - Hamill,663000.83,IRSwap
JHPZV,0.67,2470,Kulas Inc,622910.28,IRSwap
Q9KBP,0.15,2471,Bernhard - Kreiger,11999.13,IRSwap
3Z64T,0.19,2472,Mertz - Koelpin,563108.36,IRSwap
CSQA9,0.41,2473,Lockman Group,414658.39,IRSwap
TIQBX,0.63,2474,Runolfsson Inc,984388.53,IRSwap
I1GJJ,0.32,2475,"O'Connell, Herman and Friesen",862832.94,IRSwap
V92OX,0.52,2476,Cummings - Parker,610168.40,IRSwap
MGHQL,0.27,2477,Bashirian and Sons,939238.90,IRSwap
6JJTR,0.29,2478,"Dicki, Daugherty and Hettinger",416383.02,IRSwap
GDY8N,0.63,2479,"Reinger, Bogisich and Mraz",597997.67,IRSwap
B82JP,0.95,2480,"Brown, Lind and Monahan",68242.51,IRSwap
B6OQI,0.85,2481,Koch and Sons,990291.61,IRSwap
7B1Z3,0.79,2482,Fay LLC,311990.61,IRSwap
2TT48,0.32,2483,Mohr - Feil,192612.89,IRSwap
M7L56,0.26,2484,"Erdman, McCullough and Schmitt",448553.56,IRSwap
VZAVZ,0.19,2485,Cremin - Sanford,842166.86,IRSwap
O77XH,0.39,2486,Kling Group,597903.35,IRSwap
XNQVK,0.10,2487,Kuhic - Dibbert,92482.73,IRSwap
UGGC6,0.83,2488,Simonis - Waelchi,531150.95,IRSwap
ORO7S,0.41,2489,Gaylord - Fritsch,131026.28,IRSwap
P0YOW,0.24,2490,Paucek LLC,793245.59,IRSwap
R9JDR,0.21,2491,Kerluke and Sons,891991.73,IRSwap
